group (informal),order,family,genus,species,based on,era,period,epoch,formation,continent,country,reference (APA),year,doi,author of the reconstruction,Copyright holder,license,type of reconstuction,Full text link,notes
angiosperms,,Archaefructaceae,Archaefructus,Archaefructus sinensis,,Mesozoic,Cretaceous,Early Cretaceous,Yixian Formation,Asia,China,Sun G. Ji Q. Dilcher D. L. Zheng S. Nixon K. C. & Wang X. (2002). Archaefructaceae a new basal angiosperm family. Science 296(5569) 899-904.,2002,10.1126/science.1069439,K. Simons and D. Dilcher,AAAS,,whole plant,https://science.sciencemag.org/content/296/5569/899?casa_token=wkZBq32WIzcAAAAA:OHVRGX41IOEkWf1THIETMBAnO34WzRsqfUiw_UPhpbcZseolBRuar9eWnoMDVdZaNYKipqZH-doNBAKC,
angiosperms,Magnoliales,Magnoliaceae,Archaeanthus,Archaeanthus linnenbergeri,,Mesozoic,Cretaceous,Late Cretaceous,Dakota Formation,North America,USA,Dilcher D. L. & Crane P. R. (1984). Archaenthus: An early angiosperm from the Cenomanian of the western interior of North America. Annals of the Missouri Botanical Garden 351-383.,1984,10.2307/2399030,,Missouri Botanical Garden Press,,whole plant-ish,https://www.jstor.org/stable/pdf/2399030.pdf?casa_token=HVQxNeiXpMsAAAAA:Pq3ZObAVtWxyP0j_tB6_RuxdWvBoaSo9HWw02UkJxHCEk5iItcqCdRO0hiTvRpXGTNPN8GVunoK-GsYTE3UpNcs5PVxt25Wb7yJ5W0PETdKikmPKnipM4Q,
angiosperms,,,Montsechia,Montsechia vidalii,,Mesozoic,Cretaceous,Early Cretaceous,La HuÅ?rguina Formation,Europe,Spain,Gomez B. Daviero-Gomez V. Coiffard C. Martâ€™n-Closas C. & Dilcher D. L. (2015). Montsechia an ancient aquatic angiosperm. Proceedings of the National Academy of Sciences 112(35) 10985-10988.,2015,10.1073/pnas.1509241112,O. Sanisidro,National Academy of Science,,whole plant,https://www.pnas.org/content/112/35/10985,
angiosperms,,,Trapago,Trapago angulata,,Mesozoic,Cretaceous,Late Cretaceous,St. Mary River Formation,North America,Canada,Stockey R. A. & Rothwell G. W. (1997). The aquatic angiosperm Trapago angulata from the Upper Cretaceous (Maastrichtian) St. Mary River Formation of southern Alberta. International Journal of Plant Sciences 158(1) 83-94.,1997,1058-5893/97/5801-000,,UNIVERSITY OF CHICAGO PRESS,,whole plant,https://era.library.ualberta.ca/items/6a7c6240-e910-412c-a5f5-fe6fce5ba6b6/view/dc3440e0-3872-40fe-adf0-7defed311112/IJOPS_158_1997_83.pdf,usable under US fair use
calamophytes,Calamophytales,,Pseudosporochnus,Pseudosporochnus nodosus,,Palaeozoic,Devonian,Middle Devonian,,Europe,Belgium,Berry C. M. & Fairon-Demaret M. (2002). The architecture of Pseudosporochnus nodosus Leclercq et Banks: a Middle Devonian cladoxylopsid from Belgium. International Journal of Plant Sciences 163(5) 699-713.,2002,10.1086/342037,,UNIVERSITY OF CHICAGO PRESS,,whole plant,https://www.journals.uchicago.edu/doi/abs/10.1086/342037?casa_token=faknU-wfUB0AAAAA:gYvuf8NamWKlpZ3jrOlW389DsZx8kCYkEn_zW9_zObtvwl4gQeO9MTXPpbz1OivjBWXridOV6HXl8Q,
conifers,,,Krassilovia,Krassilovia mongolica,,Mesozoic,Cretaceous,Early Cretaceous,Tevshiingovi Formation,Asia,Mongolia,Herrera F. Shi G. Mays C. Ichinnorov N. Takahashi M. Bevitt J. J. ... & Crane P. R. (2020). Reconstructing Krassilovia mongolica supports recognition of a new and unusual group of Mesozoic conifers. Plos one 15(1) e0226779.,2020,10.1371/journal.pone.0226779,Pollyanna von Knorring,Authors,CC BY,whole plant-ish,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0226779,
conifers,,,Aethophyllum ,Aethophyllum stipulare,,Mesozoic,Triassic,,Gres a Voltzia,Europe,France,Rothwell G. W. Grauvogel-Stamm L. & Mapes G. (2000). An herbaceous fossil conifer: gymnospermous ruderals in the evolution of Mesozoic vegetation. Palaeogeography Palaeoclimatology Palaeoecology 156(1-2) 139-145.,2000,10.1016/S0031-0182(99)00136-4,,Elsevier,,whole plant,https://pdf.sciencedirectassets.com/271771/1-s2.0-S0031018200X00703/1-s2.0-S0031018299001364/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEAYaCXVzLWVhc3QtMSJHMEUCIQCoNgM4wyvnyXnh%2Fm9YTMeaM1%2BUvfXTnB3IV5N0ZP%2BGHgIgE4lAXY3z3YsM5juGxoHesPVcphCxqbCDwWWZpUyVO7EqtAMIXxADGgwwNTkwMDM1NDY4NjUiDBPkq7Z5G4DgyCZWviqRA5tHTymgyb1JjeRnu%2FNpiIu5XRqE1INpjnccRb90sGx3ICs6MdwkGmO6Wmgm69xeJXgS8XIenYqwqo%2B%2FACEz%2FljRmV%2BfXBPKBEBM7ULYrYf0HZj35TupxMWpUCvsbB1nbguZxp317axVNW1nCJb4wLshFq3sy5Y5Rl7foNvpac04UWw%2BjdrMp5rYvP1wTjYed1i5n5w4NbdJlI4uDkBW0zNA0zjyB35dEtlEr3dmi0BgzMWQr92Ii6hHh4aUnjaLXHUvDK9HbEmnjaZPreqGAXV9dB3VruKyaXkzN22L27EKlDUMrF1L0jKgmXxxtMMUB5HFUHUCR4rDgI4RlUkVl2%2B2907zp%2F1avmx1ovYyqM3t9Qvi0%2FSV6LXM5I4OR7sYf9l9pqRtzxiZ1c8y8OBlO8Af2SPSCd4mujKgGOE%2BersXVBEekvLRnWtxhs5hQkPz7GWAk3YD3UN9FJ0Wa%2FXQyuof7VucXEZ3vXJqZxJBvYbCFCJblxKRIatJP920wOP0AN82u4nTTbJROwwZB5zF%2FJInMMnTpPYFOusBkmK0A2IYXkiDiGVBNv1d4XXe3s2SspVD4dwFsLGDDNLKLLzkg2Sv64lhHcN03fBqoqjVDlT5Q1rI4B0xBDp5yjvmqqFRoql6AA4NDxMmAFQwx3ep1v9llZmaxXdacWYXMmnyJUL3T8OCgQ%2F9MgcUaGzDZKcF2zeT4vBvX5Gr7JTnow4ljpqUOicAsaKB4UmhoPYa1krlGDlnKvMiGihrGF9BubvdcXuZzxOiEDDvOAQfDgeICGwaQ1JMYX8p7hJD0nMKfnBaJbGoEKNgK54vwcuZ6oV4fBnn0mH62vsSbc8SDuTxIvHOwgaFGA%3D%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20200523T151936Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTYVL76VJS6%2F20200523%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=a9dffcfc614d04b66d8a91540991fb4484067a3bfb456ccbe4038ccddd583603&hash=29f8ce9110cf7a1ea7eb003a17a76f3a1347fccd9e8afd8d674b8e733785914c&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S0031018299001364&tid=spdf-db4b744a-5443-4c7b-b92a-4654886ac4bb&sid=c57c3c469529c44ba868e9b8bd7e3cbee770gxrqb&type=client,
conifers,,,Pelourdea,,,Mesozoic,Triassic,Middle Triassic,Dont Formation,Europe,Italy,Kustatscher E. van Konijnenburg-van Cittert J. H. & Roghi G. (2010). Macrofloras and palynomorphs as possible proxies for palaeoclimatic and palaeoecological studies: A case study from the Pelsonian (Middle Triassic) of KÅ¸hwiesenkopf/Monte PrË† della Vacca (Olang Dolomites N-Italy). Palaeogeography Palaeoclimatology Palaeoecology 290(1-4) 71-80.,2010,10.1016/j.palaeo.2009.07.001,,Elsevier,,whole plant,https://www.sciencedirect.com/science/article/abs/pii/S0031018209002752,
conifers,,,Pelourdea,Peloudea poleoensis,,Mesozoic,Triassic,Late Triassic,Chinle,North America,USA,Ash S. (1987) Growth habit and systematics of the upper Triassic plant Peloudea poleoensis Southwestern USA. Review of Palaeobotanyand Palynology 51:37-49,1987,10.1016/0034-6667(87)90018-2,,,,,,
conifers,,,Albertia,,,Mesozoic,Triassic,Middle Triassic,Dont Formation,Europe,Italy,Kustatscher E. van Konijnenburg-van Cittert J. H. & Roghi G. (2010). Macrofloras and palynomorphs as possible proxies for palaeoclimatic and palaeoecological studies: A case study from the Pelsonian (Middle Triassic) of KÅ¸hwiesenkopf/Monte PrË† della Vacca (Olang Dolomites N-Italy). Palaeogeography Palaeoclimatology Palaeoecology 290(1-4) 71-80.,2010,https://doi.org/10.1016/j.palaeo.2009.07.001,,Elsevier,,whole plant,https://www.sciencedirect.com/science/article/abs/pii/S0031018209002752,
conifers,,Thucydiaceae,Thucydia,Thucydia mahoningensis,,Palaeozoic,Carboniferous,Pennsylvanian,,North America,,Hernandez-Castillo G. R. Rothwell G. W. Stockey R. A. & Mapes G. (2003). Growth architecture of Thucydia mahoningensis a model for primitive walchian conifer plants. International journal of plant sciences 164(3) 443-452.,2003,10.1086/373981,,UNIVERSITY OF CHICAGO PRESS,,whole plant,https://www.journals.uchicago.edu/doi/abs/10.1086/373981,usable under US fair use
conifers,,,Mutoviaspermum,Mutoviaspermum krassilovii,,Palaeozoic,Permian,Lopingian,Poldarsa Formation ,Asia,Russia,Karasev E. Forte G. Coiro M. & Kustatscher E. (2019). Mutoviaspermum krassilovii gen. et sp. nov.: A Peculiar Compound Ovuliferous Conifer Cone from the Lopingian (Late Permian) of European Russia (Vologda Region). International Journal of Plant Sciences 180(8) 779-799.,2019,10.1086/704944,,UNIVERSITY OF CHICAGO PRESS,,branch and cone,https://www.journals.uchicago.edu/doi/abs/10.1086/704944,
conifers,,Cheirolepidiaceae,,,,Mesozoic,Cretaceous,,,Europe,,Alvin K.L. 1982. Cheirolepidiaceae: Biology structure and paleoecology. Review of Palaeobotany and Palynology,1982,https://doi.org/10.1016/0034-6667(82)90038-0,,Elsevier,,,,
conifers,Coniferales,,Pseudofrenelopsis,Pseudofrenelopsis parceramosa,,Mesozoic,Cretaceous,Early Cretaceous,Wealden,Europe,UK,Alvin K. L. (1982). Cheirolepidiaceae: biology structure and paleoecology. Review of Palaeobotany and Palynology 37(1-2) 71-98.,1982,https://doi.org/10.1016/0034-6667(82)90038-0,Claire Dalby,Elsevier,,whole plant,https://www.sciencedirect.com/science/article/pii/0034666782900380,
conifers,Coniferales,,Pseudofrenelopsis,Pseudofrenelopsis parceramosa,,Mesozoic,Cretaceous,Early Cretaceous,Wealden,Europe,UK,Alvin K. L. (1982). Cheirolepidiaceae: biology structure and paleoecology. Review of Palaeobotany and Palynology 37(1-2) 71-98.,1982,https://doi.org/10.1016/0034-6667(82)90038-0,Claire Dalby,Elsevier,,whole plant,https://www.sciencedirect.com/science/article/pii/0034666782900380,
conifers,,Araucariaceae,Araucaria,Araucaria mirabilis,,Mesozoic,Jurassic,,La Matilde Formation,South America,Argentina,Falaschi P. Grosfeld J. Zamuner A. B. Foix N. & Rivera S. M. (2011). Growth architecture and silhouette of Jurassic conifers from La Matilde Formation Patagonia Argentina. Palaeogeography Palaeoclimatology Palaeoecology 302(3-4) 122-141.,2011,https://doi.org/10.1016/j.palaeo.2010.12.005,Julia Rouaux,Elsevier,,whole plant-ish,https://www.sciencedirect.com/science/article/pii/S0031018210007108?casa_token=iZ62pITVVywAAAAA:myj0dK3j2I26UGY7xlj452GVYp_36fQjG1zdo9uP9nCLl3sIFdlGAzCVZ6LnVfs1xFC69t1TxiOR,
conifers,,,,Morphotype A,,Mesozoic,Jurassic,,La Matilde Formation,South America,Argentina,Falaschi P. Grosfeld J. Zamuner A. B. Foix N. & Rivera S. M. (2011). Growth architecture and silhouette of Jurassic conifers from La Matilde Formation Patagonia Argentina. Palaeogeography Palaeoclimatology Palaeoecology 302(3-4) 122-141.,2011,https://doi.org/10.1016/j.palaeo.2010.12.005,Julia Rouaux,Elsevier,,whole plant,https://www.sciencedirect.com/science/article/pii/S0031018210007108?casa_token=iZ62pITVVywAAAAA:myj0dK3j2I26UGY7xlj452GVYp_36fQjG1zdo9uP9nCLl3sIFdlGAzCVZ6LnVfs1xFC69t1TxiOR,
conifers,,,,Morphotype B,,Mesozoic,Jurassic,,La Matilde Formation,South America,Argentina,Falaschi P. Grosfeld J. Zamuner A. B. Foix N. & Rivera S. M. (2011). Growth architecture and silhouette of Jurassic conifers from La Matilde Formation Patagonia Argentina. Palaeogeography Palaeoclimatology Palaeoecology 302(3-4) 122-141.,2011,https://doi.org/10.1016/j.palaeo.2010.12.005,Julia Rouaux,Elsevier,,whole plant,https://www.sciencedirect.com/science/article/pii/S0031018210007108?casa_token=iZ62pITVVywAAAAA:myj0dK3j2I26UGY7xlj452GVYp_36fQjG1zdo9uP9nCLl3sIFdlGAzCVZ6LnVfs1xFC69t1TxiOR,
